name,city,state,online_only,undergrads
La James International College-Iowa City,Iowa City,IA,0,25
Simpson College,Indianola,IA,0,1296
Southeastern Community College,West Burlington,IA,0,1602
Southwestern Community College,Creston,IA,0,803
Capri College-Davenport,Davenport,IA,0,128
Iowa School of Beauty-Sioux City,Sioux City,IA,0,12
E Q School of Hair Design,Council Bluffs,IA,0,50
Upper Iowa University,Fayette,IA,0,3438
Waldorf University,Forest City,IA,0,2461
Wartburg College,Waverly,IA,0,1478
Wartburg Theological Seminary,Dubuque,IA,0,NULL
The Salon Professional Academy-Cedar Falls,Cedar Falls,IA,0,40
Western Iowa Tech Community College,Sioux City,IA,0,2888
William Penn University,Oskaloosa,IA,0,1162
Allen County Community College,Iola,KS,0,1329
Baker University,Baldwin City,KS,0,1390
Barton County Community College,Great Bend,KS,0,2360
Benedictine College,Atchison,KS,0,1953
Bethany College,Lindsborg,KS,0,762
Bethel College-North Newton,North Newton,KS,0,450
Butler Community College,El Dorado,KS,0,6852
Central Christian College of Kansas,McPherson,KS,0,591
Cloud County Community College,Concordia,KS,0,1018
Coffeyville Community College,Coffeyville,KS,0,1045
Colby Community College,Colby,KS,0,881
Cowley County Community College,Arkansas City,KS,0,1815
Dodge City Community College,Dodge City,KS,0,1432
Donnelly College,Kansas City,KS,0,296
Emporia State University,Emporia,KS,0,3258
Flint Hills Technical College,Emporia,KS,0,398
Fort Hays State University,Hays,KS,0,12828
Barclay College,Haviland,KS,0,188
Friends University,Wichita,KS,0,1032
Fort Scott Community College,Fort Scott,KS,0,1115
Garden City Community College,Garden City,KS,0,1538
Haskell Indian Nations University,Lawrence,KS,0,785
Hays Academy of Hair Design,Hays,KS,0,70
Hesston College,Hesston,KS,0,378
Highland Community College,Highland,KS,0,1591
Hutchinson Community College,Hutchinson,KS,0,3233
Independence Community College,Independence,KS,0,526
Johnson County Community College,Overland Park,KS,0,11082
Concorde Career College-Kansas City,Kansas City,MO,0,508
Kansas City Kansas Community College,Kansas City,KS,0,3758
Kansas Christian College,Overland Park,KS,0,159
University of Kansas,Lawrence,KS,0,19003
Newman University,Wichita,KS,0,997
Old Town Barber College-Wichita,Wichita,KS,0,83
Kansas State University,Manhattan,KS,0,16949
Kansas Wesleyan University,Salina,KS,0,637
Washburn Institute of Technology,Topeka,KS,0,1469
Labette Community College,Parsons,KS,0,1475
Manhattan Area Technical College,Manhattan,KS,0,449
Manhattan Christian College,Manhattan,KS,0,171
McPherson College,McPherson,KS,0,764
MidAmerica Nazarene University,Olathe,KS,0,1115
Neosho County Community College,Chanute,KS,0,1059
North Central Kansas Technical College,Beloit,KS,0,462
Northwest Kansas Technical College,Goodland,KS,0,382
Ottawa University-Ottawa,Ottawa,KS,0,673
Ottawa University-Kansas City,Overland Park,KS,0,300
Pittsburg State University,Pittsburg,KS,0,4890
Pratt Community College,Pratt,KS,0,621
University of Saint Mary,Leavenworth,KS,0,763
Salina Area Technical College,Salina,KS,0,276
Seward County Community College,Liberal,KS,0,1097
Southwestern College,Winfield,KS,0,1330
Sterling College,Sterling,KS,0,563
Tabor College,Hillsboro,KS,0,519
Washburn University,Topeka,KS,0,4571
Wichita State University-Campus of Applied Sciences and Technology,Wichita,KS,0,2531
Wichita State University,Wichita,KS,0,11199
Wichita Technical Institute,Wichita,KS,0,844
Alice Lloyd College,Pippa Passes,KY,0,575
Asbury University,Wilmore,KY,0,1584
Asbury Theological Seminary,Wilmore,KY,0,NULL
Ashland Community and Technical College,Ashland,KY,0,2002
Barrett and Company School of Hair Design,Nicholasville,KY,0,43
Bellarmine University,Louisville,KY,0,2481
Berea College,Berea,KY,0,1652
PJ's College of Cosmetology-Bowling Green,Bowling Green,KY,0,281
Southcentral Kentucky Community and Technical College,Bowling Green,KY,0,3114
Brescia University,Owensboro,KY,0,843
Campbellsville University,Campbellsville,KY,0,2721
Bluegrass Community and Technical College,Lexington,KY,0,8311
Centre College,Danville,KY,0,1401
Clear Creek Baptist Bible College,Pineville,KY,0,98
Paul Mitchell the School-Lexington,Lexington,KY,0,185
Galen College of Nursing-Louisville,Louisville,KY,0,2108
University of the Cumberlands,Williamsburg,KY,0,3335
Eastern Kentucky University,Richmond,KY,0,11582
Elizabethtown Community and Technical College,Elizabethtown,KY,0,4147
Frontier Nursing University,Versailles,KY,1,NULL
Georgetown College,Georgetown,KY,0,945
PJ's College of Cosmetology-Glasgow,Glasgow,KY,0,56
Hazard Community and Technical College,Hazard,KY,0,1604
Paul Mitchell the School-Louisville,Louisville,KY,0,186
Henderson Community College,Henderson,KY,0,957
Hopkinsville Community College,Hopkinsville,KY,0,2058
Jefferson Community and Technical College,Louisville,KY,0,8663
Summit Salon Academy-Lexington,Lexington,KY,0,28
American National University-Pikeville,Pikeville,KY,0,208
Kentucky Mountain Bible College,Jackson,KY,0,64
Kentucky State University,Frankfort,KY,0,1419
Kentucky Wesleyan College,Owensboro,KY,0,835
University of Kentucky,Lexington,KY,0,21864
Kentucky Christian University,Grayson,KY,0,539
Lexington Theological Seminary,Lexington,KY,0,NULL
Lindsey Wilson College,Columbia,KY,0,1914
University of Louisville,Louisville,KY,0,14303
Louisville Presbyterian Theological Seminary,Louisville,KY,0,NULL
Madisonville Community College,Madisonville,KY,0,1840
Maysville Community and Technical College,Maysville,KY,0,2259
Midway University,Midway,KY,0,1117
Morehead State University,Morehead,KY,0,5877
Murray State University,Murray,KY,0,6796
Gateway Community and Technical College,Florence,KY,0,2963
Northern Kentucky University,Highland Heights,KY,0,9882
West Kentucky Community and Technical College,Paducah,KY,0,3418
University of Pikeville,Pikeville,KY,0,1104
Big Sandy Community and Technical College,Prestonsburg,KY,0,2227
Empire Beauty School-Chenoweth,Louisville,KY,0,72
Empire Beauty School-Elizabethtown,Elizabethtown,KY,0,119
Empire Beauty School-Dixie,Louisville,KY,0,49
Empire Beauty School-Florence,Florence,KY,0,124
Somerset Community College,Somerset,KY,0,3945
Southeast Kentucky Community,Cumberland,KY,0,1839
The Southern Baptist Theological Seminary,Louisville,KY,0,799
Spalding University,Louisville,KY,0,874
Sullivan University,Louisville,KY,0,2559
Thomas More University,Crestview Hills,KY,0,1539
Transylvania University,Lexington,KY,0,946
Union College,Barbourville,KY,0,930
Western Kentucky University,Bowling Green,KY,0,13139
Central Louisiana Technical Community College,Alexandria,LA,0,1518
Ayers Career College,Shreveport,LA,0,149
Baton Rouge General Medical Center School of Nursing & School of Radiologic Technology,Baton Rouge,LA,0,71
Baton Rouge School of Computers,Baton Rouge,LA,0,48
Bossier Parish Community College,Bossier City,LA,0,5766
Centenary College of Louisiana,Shreveport,LA,0,543
Cloyd's Beauty School 1 Inc,West Monroe,LA,0,42
Crescent City Bartending School,New Orleans,LA,0,339
D'Jay's Institute of Cosmetology and Esthiology,Baton Rouge,LA,0,72
Delgado Community College,New Orleans,LA,0,13110
Avery James School of Cosmetology,Lake Charles,LA,0,87
Denham Springs Beauty School,Denham Springs,LA,0,70
Dillard University,New Orleans,LA,0,1215
Nunez Community College,Chalmette,LA,0,1751
Grambling State University,Grambling,LA,0,4153
Guy's Shreveport Academy of Cosmetology Inc,Shreveport,LA,0,66
ITI Technical College,Baton Rouge,LA,0,650
John Jay Beauty College,Kenner,LA,0,85
Louisiana State University Health Sciences Center-New Orleans,New Orleans,LA,0,921
Louisiana State University-Alexandria,Alexandria,LA,0,2893
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,0,23706
Louisiana State University-Eunice,Eunice,LA,0,2569
Louisiana State University-Shreveport,Shreveport,LA,0,2293
Aveda Arts & Sciences Institute-Baton Rouge,Baton Rouge,LA,0,138
Aveda Arts & Sciences Institute-Lafayette,Lafayette,LA,0,152
Louisiana Academy of Beauty,Eunice,LA,0,32
Louisiana College,Pineville,LA,0,934
Opelousas School of Cosmetology,Opelousas,LA,0,12
Louisiana Tech University,Ruston,LA,0,8141
Loyola University New Orleans,New Orleans,LA,0,3043
McNeese State University,Lake Charles,LA,0,5774
University of New Orleans,New Orleans,LA,0,5798
New Orleans Baptist Theological Seminary,New Orleans,LA,0,1090
Nicholls State University,Thibodaux,LA,0,5615
University of Louisiana at Monroe,Monroe,LA,0,5723
Northwest Louisiana Technical Community College,Minden,LA,0,1003
Northwestern State University of Louisiana,Natchitoches,LA,0,8191
University of Holy Cross,New Orleans,LA,0,700
Franciscan Missionaries of Our Lady University,Baton Rouge,LA,0,967
Pat Goins Benton Road Beauty School,Bossier City,LA,0,108
Celebrity Stylist Beauty School,Monroe,LA,0,36
Pineville Beauty School,Pineville,LA,0,70
Aveda Arts & Sciences Institute-Covington,Covington,LA,0,2232
Saint Joseph Seminary College,St. Benedict,LA,0,127
LaSalle Tech,Houma,LA,0,106
Fletcher Technical Community College,Schriever,LA,0,1993
Remington College-Lafayette Campus,Lafayette,LA,0,305
SOWELA Technical Community College,Lake Charles,LA,0,3067
Stevensons Academy of Hair Design,New Orleans,LA,0,114
Southeastern Louisiana University,Hammond,LA,0,11061
Southern University and A & M College,Baton Rouge,LA,0,5829
Southern University at New Orleans,New Orleans,LA,0,1690
Southern University at Shreveport,Shreveport,LA,0,2422
University of Louisiana at Lafayette,Lafayette,LA,0,13639
Northshore Technical Community College,Lacombe,LA,0,2439
Tulane University of Louisiana,New Orleans,LA,0,7980
Xavier University of Louisiana,New Orleans,LA,0,2498
College of the Atlantic,Bar Harbor,ME,0,350
Bates College,Lewiston,ME,0,1820
Beal University,Bangor,ME,0,390
Bowdoin College,Brunswick,ME,0,1832
Maine College of Health Professions,Lewiston,ME,0,183
Central Maine Community College,Auburn,ME,0,2243
Colby College,Waterville,ME,0,2003
Eastern Maine Community College,Bangor,ME,0,1579
Kennebec Valley Community College,Fairfield,ME,0,1491
The Landing School,Arundel,ME,0,54
University of Maine at Augusta,Augusta,ME,0,3227
University of Maine at Farmington,Farmington,ME,0,1567
University of Maine at Fort Kent,Fort Kent,ME,0,885
University of Maine at Machias,Machias,ME,0,434
University of Maine,Orono,ME,0,8832
Maine Maritime Academy,Castine,ME,0,991
University of Maine at Presque Isle,Presque Isle,ME,0,807
University of New England,Biddeford,ME,0,2449
Northern Maine Community College,Presque Isle,ME,0,558
Empire Beauty School-Maine,Portland,ME,0,132
Maine College of Art,Portland,ME,0,427
Saint Joseph's College of Maine,Standish,ME,0,1276
Spa Tech Institute-Westbrook,Westbrook,ME,0,231
Southern Maine Community College,South Portland,ME,0,4921
University of Southern Maine,Portland,ME,0,5255
Thomas College,Waterville,ME,0,750
Unity College,Unity,ME,0,784
Washington County Community College,Calais,ME,0,275
Allegany College of Maryland,Cumberland,MD,0,1819
Anne Arundel Community College,Arnold,MD,0,10276
Award Beauty School,Hagerstown,MD,0,107
Baltimore Studio of Hair Design,Baltimore,MD,0,38
Baltimore City Community College,Baltimore,MD,0,4491
University of Baltimore,Baltimore,MD,0,2038
Bowie State University,Bowie,MD,0,5085
Capitol Technology University,Laurel,MD,0,391
Cecil College,North East,MD,0,1849
College of Southern Maryland,La Plata,MD,0,5730
Chesapeake College,Wye Mills,MD,0,1635
Washington Adventist University,Takoma Park,MD,0,819
Coppin State University,Baltimore,MD,0,2344
Delmarva Beauty Academy,Salisbury,MD,0,52
North American Trade Schools,Baltimore,MD,0,551
Frederick Community College,Frederick,MD,0,4346
Frostburg State University,Frostburg,MD,0,4092
Garrett College,McHenry,MD,0,485
Goucher College,Baltimore,MD,0,1439
Hagerstown Community College,Hagerstown,MD,0,2985
Harford Community College,Bel Air,MD,0,4482
Hood College,Frederick,MD,0,1106
Howard Community College,Columbia,MD,0,8331
Aveda Institute-Maryland,Bel Air,MD,0,63
Johns Hopkins University,Baltimore,MD,0,5729
Lincoln College of Technology-Columbia,Columbia,MD,0,875
Loyola University Maryland,Baltimore,MD,0,3902
University of Maryland Global Campus,Adelphi,MD,0,42888
University of Maryland Baltimore,Baltimore,MD,0,867
University of Maryland-Baltimore County,Baltimore,MD,0,10955
University of Maryland-College Park,College Park,MD,0,29905
Maryland Institute College of Art,Baltimore,MD,0,1740
University of Maryland Eastern Shore,Princess Anne,MD,0,2270
Fortis Institute-Towson,Towson,MD,0,505
Montgomery Beauty School,Silver Spring,MD,0,140
Montgomery College,Rockville,MD,0,16940
Morgan State University,Baltimore,MD,0,6449
Mount St. Mary's University,Emmitsburg,MD,0,1831
Ner Israel Rabbinical College,Baltimore,MD,0,290
Hair Academy,New Carrollton,MD,0,416
Notre Dame of Maryland University,Baltimore,MD,0,778
Prince George's Community College,Largo,MD,0,9815
Robert Paul Academy of Cosmetology Arts & Sciences,Timonium,MD,0,62
Maryland Beauty Academy of Essex,Baltimore,MD,0,52
Salisbury University,Salisbury,MD,0,7459
St. Mary's College of Maryland,St. Mary's City,MD,0,1466
St. John's College,Annapolis,MD,0,494
Towson University,Towson,MD,0,19458
Maryland University of Integrative Health,Laurel,MD,0,NULL
United States Naval Academy,Annapolis,MD,0,4538
Stevenson University,Stevenson,MD,0,3073
Washington College,Chestertown,MD,0,1267
McDaniel College,Westminster,MD,0,1668
Wor-Wic Community College,Salisbury,MD,0,2318
Hult International Business School,Cambridge,MA,0,761
American International College,Springfield,MA,0,1336
Amherst College,Amherst,MA,0,1839
Anna Maria College,Paxton,MA,0,1107
Assabet Valley Regional Technical School,Marlborough,MA,0,48
Assumption University,Worcester,MA,0,2017
Babson College,Wellesley,MA,0,2324
Bancroft School of Massage Therapy,Worcester,MA,0,51
Boston Baptist College,Boston,MA,0,44
Bay Path University,Longmeadow,MA,0,1800
Bay State College,Boston,MA,0,588
Becker College,Worcester,MA,0,1591
Bentley University,Waltham,MA,0,4157
Berklee College of Music,Boston,MA,0,6338
Berkshire Community College,Pittsfield,MA,0,1366
Empire Beauty School-Boston,Boston,MA,0,139
Boston Architectural College,Boston,MA,0,306
Boston Graduate School of Psychoanalysis Inc,Brookline,MA,0,NULL
Boston College,Chestnut Hill,MA,0,9637
Boston University,Boston,MA,0,16891
Brandeis University,Waltham,MA,0,3678
Bridgewater State University,Bridgewater,MA,0,9195
Bristol Community College,Fall River,MA,0,6217
Signature Healthcare Brockton Hospital School of Nursing,Brockton,MA,0,250
Bunker Hill Community College,Boston,MA,0,10569
Cambridge College,Boston,MA,0,698
Cape Cod Community College,West Barnstable,MA,0,2440
Catherine Hinds Institute of Esthetics,Woburn,MA,0,210
Laboure College,Milton,MA,0,988
Clark University,Worcester,MA,0,2283
Conway School of Landscape Design,Northampton,MA,0,NULL
Curry College,Milton,MA,0,2285
Lincoln Technical Institute-Somerville,Somerville,MA,0,368
Dean College,Franklin,MA,0,1310
Diman Regional Technical Institute,Fall River,MA,0,66
National Aviation Academy of New England,Concord,MA,0,289
Eastern Nazarene College,Quincy,MA,0,607
Emerson College,Boston,MA,0,3871
Emmanuel College,Boston,MA,0,2001
Endicott College,Beverly,MA,0,2996
Rob Roy Academy-Fall River,Fall River,MA,0,62
Fisher College,Boston,MA,0,1216
Fitchburg State University,Fitchburg,MA,0,3818
Framingham State University,Framingham,MA,0,3745
Benjamin Franklin Institute of Technology,Boston,MA,0,525
Gordon College,Wenham,MA,0,1478
Gordon-Conwell Theological Seminary,South Hamilton,MA,0,NULL
Greenfield Community College,Greenfield,MA,0,1472
Hampshire College,Amherst,MA,0,745
Harvard University,Cambridge,MA,0,7547
Hebrew College,Newton Centre,MA,0,2
Hellenic College-Holy Cross Greek Orthodox School of Theology,Brookline,MA,0,49
College of the Holy Cross,Worcester,MA,0,2931
Holyoke Community College,Holyoke,MA,0,4335
Lasell University,Newton,MA,0,1629
Lawrence Memorial Hospital School of Nursing,Medford,MA,0,282
Lesley University,Cambridge,MA,0,2031
Longy School of Music of Bard College,Cambridge,MA,0,37
Lowell Academy Hairstyling Institute,Lowell,MA,0,83
University of Massachusetts-Lowell,Lowell,MA,0,13601
University of Massachusetts-Amherst,Amherst,MA,0,23907
University of Massachusetts-Boston,Boston,MA,0,12192
Massachusetts Bay Community College,Wellesley Hills,MA,0,3224
MCPHS University,Boston,MA,0,4004
Massachusetts College of Art and Design,Boston,MA,0,1846
Massachusetts Institute of Technology,Cambridge,MA,0,4516
Massachusetts Maritime Academy,Buzzards Bay,MA,0,1654
University of Massachusetts Medical School Worcester,Worcester,MA,0,NULL
William James College,Newton,MA,0,29
Massachusetts School of Barbering,Quincy,MA,0,57
Massasoit Community College,Brockton,MA,0,5392
Merrimack College,North Andover,MA,0,3956
MGH Institute of Health Professions,Boston,MA,0,177
Middlesex Community College,Bedford,MA,0,6152
Montserrat College of Art,Beverly,MA,0,366
Mount Holyoke College,South Hadley,MA,0,2175
Mount Wachusett Community College,Gardner,MA,0,3196
Rob Roy Academy-New Bedford,New Bedford,MA,0,11
The New England Conservatory of Music,Boston,MA,0,475
New England College of Optometry,Boston,MA,0,NULL
New England Law-Boston,Boston,MA,0,NULL
Nichols College,Dudley,MA,0,1308
Massachusetts College of Liberal Arts,North Adams,MA,0,1278
North Bennet Street School,Boston,MA,0,157
North Shore Community College,Danvers,MA,0,4835
Northeastern University,Boston,MA,0,14034
Northern Essex Community College,Haverhill,MA,0,4242
College of Our Lady of the Elms,Chicopee,MA,0,1106
Pine Manor College,Chestnut Hill,MA,0,250
Pope St John XXIII National Seminary,Weston,MA,0,NULL
Quincy College,Quincy,MA,0,2907
Quinsigamond Community College,Worcester,MA,0,6289
Regis College,Weston,MA,0,1328
Roxbury Community College,Roxbury Crossing,MA,0,1668
Saint John's Seminary,Brighton,MA,0,18
Salem State University,Salem,MA,0,5844
Simmons University,Boston,MA,0,1735
Bard College at Simon's Rock,Great Barrington,MA,0,392
Smith College,Northampton,MA,0,2526
Southeastern Technical Institute,South Easton,MA,0,126
Springfield College,Springfield,MA,0,2152
Springfield Technical Community College,Springfield,MA,0,4555
University of Massachusetts-Dartmouth,North Dartmouth,MA,0,6226
Stonehill College,Easton,MA,0,2444
Suffolk University,Boston,MA,0,4820
Rob Roy Academy-Taunton,Taunton,MA,0,32
Tufts University,Medford,MA,0,5828
Wellesley College,Wellesley,MA,0,2391
Wentworth Institute of Technology,Boston,MA,0,4226
Western New England University,Springfield,MA,0,2675
Westfield State University,Westfield,MA,0,4791
Wheaton College,Norton,MA,0,1762
Williams College,Williamstown,MA,0,2028
Worcester Polytechnic Institute,Worcester,MA,0,4655
Worcester State University,Worcester,MA,0,4919
Adrian College,Adrian,MI,0,1727
Albion College,Albion,MI,0,1451
Hillsdale Beauty College,Hillsdale,MI,0,22
Northwestern Technological Institute,Southfield,MI,0,1000
Alma College,Alma,MI,0,1412
Alpena Community College,Alpena,MI,0,956
Andrews University,Berrien Springs,MI,0,1436
Aquinas College,Grand Rapids,MI,0,1334
Baker College,Owosso,MI,0,6343
Bay de Noc Community College,Escanaba,MI,0,1163
Bayshire Academy of Beauty Craft Inc,Bay City,MI,0,117
Calvin University,Grand Rapids,MI,0,3382
Calvin Theological Seminary,Grand Rapids,MI,0,NULL
Carnegie Institute,Troy,MI,0,129
Michigan School of Psychology,Farmington Hills,MI,0,NULL
Central Michigan University,Mount Pleasant,MI,0,14409
Mott Community College,Flint,MI,0,6019
Empire Beauty School-Michigan,Grand Rapids,MI,0,230
Cleary University,Howell,MI,0,462
Concordia University-Ann Arbor,Ann Arbor,MI,0,895
Cranbrook Academy of Art,Bloomfield Hills,MI,0,NULL
College for Creative Studies,Detroit,MI,0,1414
Davenport University,Grand Rapids,MI,0,4616
David Pressley School of Cosmetology,Royal Oak,MI,0,251
Delta College,University Center,MI,0,6836
Detroit Business Institute-Downriver,Riverview,MI,0,34
Michigan State University-College of Law,East Lansing,MI,0,NULL
MIAT College of Technology,Canton,MI,0,1082
University of Detroit Mercy,Detroit,MI,0,2559
Dorsey School of Business-Madison Heights,Madison Heights,MI,0,420
Dorsey School of Business,Madison Heights,MI,0,154
Eastern Michigan University,Ypsilanti,MI,0,14381
Creative Hair School of Cosmetology,Flint,MI,0,33
Ferris State University,Big Rapids,MI,0,10398
Flint Institute of Barbering Inc,Flint,MI,0,37
Glen Oaks Community College,Centreville,MI,0,598
Kettering University,Flint,MI,0,1763
Gogebic Community College,Ironwood,MI,0,670
Grace Christian University,Wyoming,MI,0,915
Cornerstone University,Grand Rapids,MI,0,1440
Grand Rapids Community College,Grand Rapids,MI,0,11529
Grand Valley State University,Allendale,MI,0,21019
Great Lakes Christian College,Lansing,MI,0,171
Henry Ford College,Dearborn,MI,0,10044
Hillsdale College,Hillsdale,MI,0,1452
Hope College,Holland,MI,0,2966
Jackson College,Jackson,MI,0,3399
Kalamazoo College,Kalamazoo,MI,0,1265
Kalamazoo Valley Community College,Kalamazoo,MI,0,6333
Kellogg Community College,Battle Creek,MI,0,3170
Kirtland Community College,Grayling,MI,0,996
Michigan College of Beauty-Monroe,Monroe,MI,0,98
Lake Michigan College,Benton Harbor,MI,0,2410
Lake Superior State University,Sault Ste Marie,MI,0,1738
Lansing Community College,Lansing,MI,0,10279
Lawrence Technological University,Southfield,MI,0,1941
M J Murphy Beauty College of Mount Pleasant,Mount Pleasant,MI,0,36
Macomb Community College,Warren,MI,0,17913
Madonna University,Livonia,MI,0,2343
Rochester University,Rochester Hills,MI,0,845
University of Michigan-Ann Arbor,Ann Arbor,MI,0,31046
The Michigan Barber School,Detroit,MI,0,171
Michigan State University,East Lansing,MI,0,38950
Michigan Technological University,Houghton,MI,0,5678
University of Michigan-Dearborn,Dearborn,MI,0,6728
University of Michigan-Flint,Flint,MI,0,5127
Mid Michigan College,Harrison,MI,0,2558
Monroe County Community College,Monroe,MI,0,1863
Montcalm Community College,Sidney,MI,0,1155
Muskegon Community College,Muskegon,MI,0,3256
North Central Michigan College,Petoskey,MI,0,1115
Northern Michigan University,Marquette,MI,0,6756
Northwestern Michigan College,Traverse City,MI,0,3113
Northwood University,Midland,MI,0,2554
Oakland Community College,Bloomfield Hills,MI,0,12487
Oakland University,Rochester Hills,MI,0,15236
Olivet College,Olivet,MI,0,1001
Port Huron Cosmetology College,Waterford,MI,0,49
Kuyper College,Grand Rapids,MI,0,137
Ross Medical Education Center-Lansing,Lansing,MI,0,76
Ross Medical Education Center-Madison Heights,Madison Heights,MI,0,130
Ross Medical Education Center-Flint,Flint,MI,0,151
Sacred Heart Major Seminary,Detroit,MI,0,252
Saginaw Valley State University,University Center,MI,0,7209
Schoolcraft College,Livonia,MI,0,8009
Siena Heights University,Adrian,MI,0,1974
St Clair County Community College,Port Huron,MI,0,2477
Southwestern Michigan College,Dowagiac,MI,0,1516
Specs Howard School of Media Arts,Southfield,MI,0,435
Spring Arbor University,Spring Arbor,MI,0,1469
Michigan Career and Technical Institute,Plainwell,MI,0,198
Finlandia University,Hancock,MI,0,389
Western Michigan University-Thomas M. Cooley Law School,Lansing,MI,0,NULL
Twin City Beauty College,Saint Joseph,MI,0,246
Walsh College,Troy,MI,0,715
Washtenaw Community College,Ann Arbor,MI,0,9790
Wayne County Community College District,Detroit,MI,0,9509
Wayne State University,Detroit,MI,0,17219
West Shore Community College,Scottville,MI,0,776
Paul Mitchell the School-Grand Rapids,Kentwood,MI,0,138
Western Michigan University,Kalamazoo,MI,0,16801
Western Theological Seminary,Holland,MI,0,NULL
Wright Beauty Academy,Battle Creek,MI,0,52
Academy College,Bloomington,MN,0,102
Alexandria Technical & Community College,Alexandria,MN,0,1318
American Indian OIC Inc,Minneapolis,MN,0,37
Anoka Technical College,Anoka,MN,0,1574
Anoka-Ramsey Community College,Coon Rapids,MN,0,5088
Augsburg University,Minneapolis,MN,0,2475
Riverland Community College,Austin,MN,0,2018
Northwest Technical College,Bemidji,MN,0,622
Bemidji State University,Bemidji,MN,0,4016
Bethany Lutheran College,Mankato,MN,0,592
Bethel University,Saint Paul,MN,0,2660
Central Lakes College-Brainerd,Brainerd,MN,0,1731
Carleton College,Northfield,MN,0,2065
Concordia College at Moorhead,Moorhead,MN,0,1933
Concordia University-Saint Paul,Saint Paul,MN,0,2745
Dakota County Technical College,Rosemount,MN,0,2107
Martin Luther College,New Ulm,MN,0,777
Lake Superior College,Duluth,MN,0,3146
Cosmetology Careers Unlimited College of Hair Skin and Nails,Duluth,MN,0,28
Minnesota State Community and Technical College,Fergus Falls,MN,0,3652
Minnesota West Community and Technical College,Granite Falls,MN,0,1766
Gustavus Adolphus College,Saint Peter,MN,0,2220
Hamline University,Saint Paul,MN,0,2048
Hazelden Betty Ford Graduate School of Addiction Studies,Center City,MN,0,NULL
Hennepin Technical College,Brooklyn Park,MN,0,3590
Hibbing Community College,Hibbing,MN,0,790
Aveda Institute-Minneapolis,Minneapolis,MN,0,478
Inver Hills Community College,Inver Grove Heights,MN,0,2730
Itasca Community College,Grand Rapids,MN,0,681
Luther Seminary,Saint Paul,MN,0,NULL
Macalester College,Saint Paul,MN,0,2079
South Central College,North Mankato,MN,0,2365
Minnesota State University-Mankato,Mankato,MN,0,11541
Mayo Clinic College of Medicine and Science,Rochester,MN,0,265
Mesabi Range College,Virginia,MN,0,708
Metropolitan State University,Saint Paul,MN,0,6540
University of Minnesota-Twin Cities,Minneapolis,MN,0,31367
University of Minnesota-Crookston,Crookston,MN,0,1839
Minneapolis College of Art and Design,Minneapolis,MN,0,698
Minneapolis Community and Technical College,Minneapolis,MN,0,5755
Herzing University-Minneapolis,St. Louis Park,MN,0,514
Minnesota School of Cosmetology-Woodbury Campus,WOODBURY,MN,0,167
University of Minnesota-Duluth,Duluth,MN,0,8841
University of Minnesota-Morris,Morris,MN,0,1400
Model College of Hair Design,Saint Cloud,MN,0,79
Minnesota State University Moorhead,Moorhead,MN,0,4420
North Hennepin Community College,Brooklyn Park,MN,0,4471
Normandale Community College,Bloomington,MN,0,7013
North Central University,Minneapolis,MN,0,955
Northland Community and Technical College,Thief River Falls,MN,0,2117
University of Northwestern-St Paul,Saint Paul,MN,0,1778
Northwestern Health Sciences University,Bloomington,MN,0,173
Oak Hills Christian College,Bemidji,MN,0,82
Pine Technical & Community College,Pine City,MN,0,677
Rainy River Community College,International Falls,MN,0,141
Rochester Community and Technical College,Rochester,MN,0,3785
College of Saint Benedict,Saint Joseph,MN,0,1736
St Cloud Technical and Community College,Saint Cloud,MN,0,3601
Saint Cloud State University,Saint Cloud,MN,0,8075
Saint Johns University,Collegeville,MN,0,1615
Saint Mary's University of Minnesota,Winona,MN,0,1448
St Olaf College,Northfield,MN,0,3033
Crown College,Saint Bonifacius,MN,0,768
The College of Saint Scholastica,Duluth,MN,0,2444
University of St Thomas,Saint Paul,MN,0,6312
Empire Beauty School-Bloomington,Bloomington,MN,0,130
St Catherine University,Saint Paul,MN,0,3107
Rasmussen University-Minnesota,St. Cloud,MN,0,3888
Saint Paul College,Saint Paul,MN,0,4956
Southwest Minnesota State University,Marshall,MN,0,1927
Summit Academy Opportunities Industrialization Center,Minneapolis,MN,0,442
United Theological Seminary of the Twin Cities,St. Paul,MN,0,NULL
Vermilion Community College,Ely,MN,0,445
Dunwoody College of Technology,Minneapolis,MN,0,1338
Ridgewater College,Willmar,MN,0,2586
Minnesota State College Southeast,Winona,MN,0,1137
Winona State University,Winona,MN,0,6800
Mitchell Hamline School of Law,Saint Paul,MN,0,NULL
Century College,White Bear Lake,MN,0,7269
Alcorn State University,Alcorn State,MS,0,2880
Belhaven University,Jackson,MS,0,2240
Blue Mountain College,Blue Mountain,MS,0,637
Chris Beauty College,Gulfport,MS,0,80
Coahoma Community College,Clarksdale,MS,0,1443
Copiah-Lincoln Community College,Wesson,MS,0,2315
Delta Beauty College,Greenville,MS,0,22
Delta State University,Cleveland,MS,0,2238
East Central Community College,Decatur,MS,0,1836
East Mississippi Community College,Scooba,MS,0,3052
Fosters Cosmetology College,Ripley,MS,0,34
Academy of Hair Design-Grenada,Grenada,MS,0,33
Hinds Community College,Raymond,MS,0,8525
Holmes Community College,Goodman,MS,0,4562
Itawamba Community College,Fulton,MS,0,4003
Jackson State University,Jackson,MS,0,5138
