name,city,state,online_only,undergrads
Eastern College of Health Vocations-Little Rock,Little Rock,AR,0,144
Paul Mitchell the School-Little Rock,North Little Rock,AR,0,359
National Park College,Hot Springs,AR,0,1967
University of Arkansas Community College-Batesville,Batesville,AR,0,952
Harding University,Searcy,AR,0,3749
Henderson State University,Arkadelphia,AR,0,2965
Hendrix College,Conway,AR,0,1104
Hot Springs Beauty College,Hot Springs,AR,0,57
Jefferson Regional Medical Center School of Nursing,Pine Bluff,AR,0,56
John Brown University,Siloam Springs,AR,0,1447
Career Academy of Hair Design,Springdale,AR,0,184
Academy of Salon and Spa,Fort Smith,AR,0,63
Arkansas State University Mid-South,West Memphis,AR,0,589
Arkansas Northeastern College,Blytheville,AR,0,918
New Tyler Barber College Inc,North Little Rock,AR,0,30
North Arkansas College,Harrison,AR,0,1286
Northwest Technical Institute,Springdale,AR,0,181
Ouachita Baptist University,Arkadelphia,AR,0,1524
Arkansas State University Three Rivers,Malvern,AR,0,525
Ozarka College,Melbourne,AR,0,818
University of the Ozarks,Clarksville,AR,0,812
University of Arkansas Community College-Morrilton,Morrilton,AR,0,1651
Philander Smith College,Little Rock,AR,0,996
Phillips Community College of the University of Arkansas,Helena,AR,0,705
Southeast Arkansas College,Pine Bluff,AR,0,1021
Professional Cosmetology Education Center,El Dorado,AR,0,44
University of Arkansas-Pulaski Technical College,North Little Rock,AR,0,4629
University of Arkansas Hope-Texarkana,Hope,AR,0,926
University of Arkansas Community College Rich Mountain,Mena,AR,0,524
Paul Mitchell the School-Arkansas,Fayetteville,AR,0,102
Searcy Beauty College,Searcy,AR,0,73
Shorter College,N Little Rock,AR,0,221
Williams Baptist University,Walnut Ridge,AR,0,512
South Arkansas Community College,El Dorado,AR,0,1145
Southern Arkansas University Main Campus,Magnolia,AR,0,3164
Southern Arkansas University Tech,Camden,AR,0,704
Velvatex College of Beauty Culture,Little Rock,AR,0,15
University of Arkansas-Fort Smith,Fort Smith,AR,0,4883
Academy of Art University,San Francisco,CA,0,6570
Academy of Chinese Culture and Health Sciences,Oakland,CA,0,NULL
Avalon School of Cosmetology-Alameda,Alameda,CA,0,47
College of Alameda,Alameda,CA,0,4436
Allan Hancock College,Santa Maria,CA,0,9029
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,0,251
Berkeley School of Theology,Berkeley,CA,0,NULL
American Film Institute Conservatory,Los Angeles,CA,0,NULL
American Beauty College,West Covina,CA,0,92
American Career College-Los Angeles,Los Angeles,CA,0,1567
American Conservatory Theater,San Francisco,CA,0,1
American River College,Sacramento,CA,0,28666
Antelope Valley College,Lancaster,CA,0,12334
Art Center College of Design,Pasadena,CA,0,2034
Associated Technical College-Los Angeles,Los Angeles,CA,0,335
Associated Technical College-San Diego,San Diego,CA,0,85
Azusa Pacific University,Azusa,CA,0,5128
Bakersfield College,Bakersfield,CA,0,19945
Barstow Community College,Barstow,CA,0,2801
Bellus Academy-Chula Vista,Chula Vista,CA,0,239
Bethesda University,Anaheim,CA,0,258
Biola University,La Mirada,CA,0,4031
Brownson Technical School,Anaheim,CA,0,53
Bryan University,Tempe,AZ,0,1115
Butte College,Oroville,CA,0,9249
California Institute of Integral Studies,San Francisco,CA,0,69
Cabrillo College,Aptos,CA,0,9800
California Baptist University,Riverside,CA,0,8170
California College of the Arts,San Francisco,CA,0,1455
University of California-Hastings College of Law,San Francisco,CA,0,NULL
California Institute of Technology,Pasadena,CA,0,938
California Lutheran University,Thousand Oaks,CA,0,3077
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,0,20453
Alliant International University-San Diego,San Diego,CA,0,327
California State University-Bakersfield,Bakersfield,CA,0,9750
California State University-Stanislaus,Turlock,CA,0,9686
California State University-San Bernardino,San Bernardino,CA,0,17963
California State Polytechnic University-Pomona,Pomona,CA,0,26373
California State University-Chico,Chico,CA,0,16044
California State University-Dominguez Hills,Carson,CA,0,15328
California State University-Fresno,Fresno,CA,0,21156
California State University-Fullerton,Fullerton,CA,0,35087
California State University-East Bay,Hayward,CA,0,13104
California State University-Long Beach,Long Beach,CA,0,32900
California State University-Los Angeles,Los Angeles,CA,0,22743
California State University-Northridge,Northridge,CA,0,34713
California State University-Sacramento,Sacramento,CA,0,28718
University of California-Berkeley,Berkeley,CA,0,31345
University of California-Davis,Davis,CA,0,30962
University of California-Irvine,Irvine,CA,0,30367
University of California-Los Angeles,Los Angeles,CA,0,31537
University of California-Riverside,Riverside,CA,0,22015
University of California-San Diego,La Jolla,CA,0,30789
University of California-San Francisco,San Francisco,CA,0,NULL
University of California-Santa Barbara,Santa Barbara,CA,0,23337
University of California-Santa Cruz,Santa Cruz,CA,0,17517
Sofia University,Palo Alto,CA,0,8
California Beauty School,Modesto,CA,0,105
California Christian College,Fresno,CA,0,11
Haven University,Garden Grove,CA,0,18
California Hair Design Academy,La Mesa,CA,0,128
California Institute of the Arts,Valencia,CA,0,1015
California State University Maritime Academy,Vallejo,CA,0,911
California Western School of Law,San Diego,CA,0,NULL
Canada College,Redwood City,CA,0,4811
College of the Canyons,Santa Clarita,CA,0,16902
Career Academy of Beauty,Garden Grove,CA,0,159
Casa Loma College-Van Nuys,Van Nuys,CA,0,162
CET-San Diego,San Diego,CA,0,170
CET-San Jose,San Jose,CA,0,229
CET-El Centro,El Centro,CA,0,217
CET-Colton,Colton,CA,0,166
CET-Watsonville,Watsonville,CA,0,116
CET-Salinas,Salinas,CA,0,144
Cerritos College,Norwalk,CA,0,21339
Cerro Coso Community College,Ridgecrest,CA,0,4352
Chabot College,Hayward,CA,0,12386
Chaffey College,Rancho Cucamonga,CA,0,19310
Chapman University,Orange,CA,0,7294
Charles R Drew University of Medicine and Science,Los Angeles,CA,0,183
Concordia University-Irvine,Irvine,CA,0,1723
San Diego Christian College,Santee,CA,0,469
Stockton Christian Life College,Stockton,CA,0,0
Church Divinity School of the Pacific,Berkeley,CA,0,NULL
Citrus College,Glendora,CA,0,11478
Citrus Heights Beauty College,Citrus Heights,CA,0,123
City College of San Francisco,San Francisco,CA,0,21820
Claremont Graduate University,Claremont,CA,0,NULL
Claremont McKenna College,Claremont,CA,0,1335
Milan Institute-Visalia,Visalia,CA,0,395
Clovis Adult Education,Clovis,CA,0,671
Coastline Community College,Fountain Valley,CA,0,9360
Cogswell University of Silicon Valley,San Jose,CA,0,541
Coba Academy,Anaheim,CA,0,81
Western University of Health Sciences,Pomona,CA,0,NULL
Columbia College,Sonora,CA,0,2483
Columbia College Hollywood,Tarzana,CA,0,870
Compton College,Compton,CA,0,4239
Contra Costa College,San Pablo,CA,0,5675
Cosumnes River College,Sacramento,CA,0,13220
Crafton Hills College,Yucaipa,CA,0,5809
Cuesta College,San Luis Obispo,CA,0,7951
Cuyamaca College,El Cajon,CA,0,7473
Cypress College,Cypress,CA,0,14390
De Anza College,Cupertino,CA,0,16822
International School of Beauty Inc,Palm Desert,CA,0,143
Dell'Arte International School of Physical Theatre,Blue Lake,CA,0,18
College of the Desert,Palm Desert,CA,0,10936
Design Institute of San Diego,San Diego,CA,0,121
Diablo Valley College,Pleasant Hill,CA,0,17721
Dominican University of California,San Rafael,CA,0,1444
Dominican School of Philosophy & Theology,Berkeley,CA,0,NULL
East Los Angeles College,Monterey Park,CA,0,31156
El Camino Community College District,Torrance,CA,0,20687
Emperor's College of Traditional Oriental Medicine,Santa Monica,CA,0,NULL
Empire College,Santa Rosa,CA,0,299
Evergreen Valley College,San Jose,CA,0,8059
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,CA,0,2195
FIDM-Fashion Institute of Design & Merchandising-San Francisco,San Francisco,CA,0,188
Feather River Community College District,Quincy,CA,0,1251
Federico Beauty Institute,Sacramento,CA,0,326
Fielding Graduate University,Santa Barbara,CA,0,NULL
Five Branches University,Santa Cruz,CA,0,NULL
Redondo Beach Beauty College,Redondo Beach,CA,0,76
Foothill College,Los Altos Hills,CA,0,13263
Franciscan School of Theology,San Diego,CA,0,NULL
Fredrick and Charles Beauty College,Eureka,CA,0,55
Fresno City College,Fresno,CA,0,21234
Fresno Pacific University,Fresno,CA,0,2872
Fuller Theological Seminary,Pasadena,CA,0,NULL
Fullerton College,Fullerton,CA,0,20474
Gavilan College,Gilroy,CA,0,4719
Gemological Institute of America-Carlsbad,Carlsbad,CA,0,167
Glendale Community College,Glendale,CA,0,12304
Glendale Career College,Glendale,CA,0,611
Golden Gate University-San Francisco,San Francisco,CA,0,487
Golden West College,Huntington Beach,CA,0,10863
Graduate Theological Union,Berkeley,CA,0,NULL
Grossmont College,El Cajon,CA,0,14929
Salon Success Academy-Riverside,Riverside,CA,0,92
Hartnell College,Salinas,CA,0,11739
Harvey Mudd College,Claremont,CA,0,893
Hilltop Beauty School,Daly City,CA,0,111
Holy Names University,Oakland,CA,0,668
Pacifica Graduate Institute,Carpinteria,CA,0,NULL
Humboldt State University,Arcata,CA,0,6559
Humphreys University-Stockton and Modesto Campuses,Stockton,CA,0,309
Imperial Valley College,Imperial,CA,0,7500
Institute for Business and Technology,Santa Clara,CA,0,542
Interior Designers Institute,Newport Beach,CA,0,139
International School of Cosmetology,Los Angeles,CA,0,191
Irvine Valley College,Irvine,CA,0,10881
Bellus Academy-El Cajon,El Cajon,CA,0,200
John F. Kennedy University,Pleasant Hill,CA,0,373
American Jewish University,Los Angeles,CA,0,33
Reedley College,Reedley,CA,0,8803
Life Pacific University,San Dimas,CA,0,451
University of La Verne,La Verne,CA,0,4516
Laguna College of Art and Design,Laguna Beach,CA,0,784
Lake Tahoe Community College,South Lake Tahoe,CA,0,2280
Lancaster Beauty School,Lancaster,CA,0,134
Laney College,Oakland,CA,0,8066
Lassen Community College,Susanville,CA,0,2245
Life Chiropractic College West,Hayward,CA,0,NULL
Lincoln University,Oakland,CA,0,95
Southern California Seminary,El Cajon,CA,0,43
La Sierra University,Riverside,CA,0,1592
Loma Linda University,Loma Linda,CA,0,1058
Long Beach City College,Long Beach,CA,0,23014
Southern California University of Health Sciences,Whittier,CA,0,162
Los Angeles Harbor College,Wilmington,CA,0,7260
Los Angeles Pierce College,Woodland Hills,CA,0,16458
Los Angeles Southwest College,Los Angeles,CA,0,4893
Los Angeles Trade Technical College,Los Angeles,CA,0,10619
Los Angeles Valley College,Valley Glen,CA,0,14402
The Master's University and Seminary,Santa Clarita,CA,0,1134
Los Angeles City College,Los Angeles,CA,0,11985
Los Angeles County College of Nursing and Allied Health,Los Angeles,CA,0,199
Los Angeles Mission College,Sylmar,CA,0,8077
Los Medanos College,Pittsburg,CA,0,8217
Loyola Marymount University,Los Angeles,CA,0,6638
Lu Ross Academy,Ventura,CA,0,215
Lyle's College of Beauty,Bakersfield,CA,0,88
Lyle's College of  Beauty,Fresno,CA,0,83
Lytles Redwood Empire Beauty College Inc,Santa Rosa,CA,0,115
MTI College,Sacramento,CA,0,756
College of Marin,Kentfield,CA,0,4229
Marymount California University,Rancho Palos Verdes,CA,0,602
Mendocino College,Ukiah,CA,0,3020
Menlo College,Atherton,CA,0,833
Merced College,Merced,CA,0,9888
Merritt College,Oakland,CA,0,5455
Mills College,Oakland,CA,0,699
MiraCosta College,Oceanside,CA,0,12227
Mission College,Santa Clara,CA,0,5951
Modern Beauty Academy,Oxnard,CA,0,50
Modesto Junior College,Modesto,CA,0,17013
Moler Barber College,Oakland,CA,0,279
Middlebury Institute of International Studies at Monterey,Monterey,CA,0,8
Monterey Peninsula College,Monterey,CA,0,6738
Moorpark College,Moorpark,CA,0,12795
Mt San Antonio College,Walnut,CA,0,26992
Mount Saint Mary's University,Los Angeles,CA,0,2227
Mt San Jacinto Community College District,San Jacinto,CA,0,14435
Musicians Institute,Hollywood,CA,0,923
Napa Valley College,Napa,CA,0,4808
National Holistic Institute,Emeryville,CA,0,1237
National University,La Jolla,CA,0,6791
Naval Postgraduate School,Monterey,CA,0,NULL
Newschool of Architecture and Design,San Diego,CA,0,394
Newberry School of Beauty,Granada Hills,CA,0,113
North Adrian's College of Beauty Inc,Modesto,CA,0,236
North-West College-Pomona,Pomona,CA,0,187
North-West College-West Covina,West Covina,CA,0,700
North-West College-Van Nuys,Van Nuys,CA,0,198
Notre Dame de Namur University,Belmont,CA,0,795
Occidental College,Los Angeles,CA,0,1970
Ohlone College,Fremont,CA,0,7696
Orange Coast College,Costa Mesa,CA,0,19074
Otis College of Art and Design,Los Angeles,CA,0,1120
Oxnard College,Oxnard,CA,0,6807
Hope International University,Fullerton,CA,0,633
Concorde Career College-San Diego,San Diego,CA,0,730
Palo Alto University,Palo Alto,CA,0,68
Pacific Oaks College,Pasadena,CA,0,494
Pacific School of Religion,Berkeley,CA,0,NULL
Pacific States University,Los Angeles,CA,0,3
Pacific Union College,Angwin,CA,0,889
University of the Pacific,Stockton,CA,0,3585
Palo Verde College,Blythe,CA,0,4032
Palomar College,San Marcos,CA,0,20659
Pasadena City College,Pasadena,CA,0,24685
Pepperdine University,Malibu,CA,0,3581
Pitzer College,Claremont,CA,0,1086
Platt College-San Diego,San Diego,CA,0,114
Point Loma Nazarene University,San Diego,CA,0,3195
Pomona College,Claremont,CA,0,1610
Porterville College,Porterville,CA,0,3645
Professional Institute of Beauty,El Monte,CA,0,111
Santa Ana College,Santa Ana,CA,0,24689
Pardee RAND Graduate School,Santa Monica,CA,0,NULL
Shasta School of Cosmetology,Redding,CA,0,37
University of Redlands,Redlands,CA,0,2965
College of the Redwoods,Eureka,CA,0,3925
Salon Success Academy-Upland,Upland,CA,0,164
Salon Success Academy-Corona,Corona,CA,0,116
Rio Hondo College,Whittier,CA,0,17545
Riverside City College,Riverside,CA,0,18927
Rosemead Beauty School,Rosemead,CA,0,344
Dongguk University Los Angeles,Los Angeles,CA,0,16
Sacramento City College,Sacramento,CA,0,19080
Saddleback College,Mission Viejo,CA,0,17830
Samuel Merritt University,Oakland,CA,0,708
San Diego City College,San Diego,CA,0,11811
San Diego Mesa College,San Diego,CA,0,18085
San Diego Miramar College,San Diego,CA,0,11759
San Diego State University,San Diego,CA,0,30347
University of San Diego,San Diego,CA,0,5820
San Francisco Art Institute,San Francisco,CA,0,210
San Francisco Conservatory of Music,San Francisco,CA,0,233
San Francisco State University,San Francisco,CA,0,25126
University of Redlands Graduate School of Theology,San Anselmo,CA,0,54
University of San Francisco,San Francisco,CA,0,6510
San Joaquin College of Law,Clovis,CA,0,NULL
San Joaquin Delta College,Stockton,CA,0,16358
San Joaquin Valley College-Visalia,Visalia,CA,0,6400
William Jessup University,Rocklin,CA,0,1246
San Jose City College,San Jose,CA,0,7464
San Jose State University,San Jose,CA,0,27723
College of San Mateo,San Mateo,CA,0,7127
Santa Barbara Business College-Bakersfield,Bakersfield,CA,0,308
Santa Barbara Business College-Santa Maria,Santa Maria,CA,0,89
Santa Barbara City College,Santa Barbara,CA,0,12659
Santa Clara University,Santa Clara,CA,0,5676
Santa Monica College,Santa Monica,CA,0,25492
Santa Rosa Junior College,Santa Rosa,CA,0,16469
Saybrook University,Pasadena,CA,0,NULL
Scripps College,Claremont,CA,0,1083
College of the Sequoias,Visalia,CA,0,10912
Shasta Bible College and Graduate School,Redding,CA,0,29
Shasta College,Redding,CA,0,6025
Sierra College,Rocklin,CA,0,16064
Sierra College of Beauty,Merced,CA,0,138
Trinity Law School,Santa Ana,CA,0,NULL
Simpson University,Redding,CA,0,701
College of the Siskiyous,Weed,CA,0,1403
Charles A Jones Career and Education Center,Sacramento,CA,0,243
Skyline College,San Bruno,CA,0,7500
San Bernardino Valley College,San Bernardino,CA,0,12887
Saint Mary's College of California,Moraga,CA,0,2632
Solano Community College,Fairfield,CA,0,7965
Sonoma State University,Rohnert Park,CA,0,8119
South Baylo University,Anaheim,CA,0,NULL
South Coast College,Orange,CA,0,226
Vanguard University of Southern California,Costa Mesa,CA,0,1914
Concorde Career College-Garden Grove,Garden Grove,CA,0,589
Southwestern College,Chula Vista,CA,0,17839
St John's Seminary,Camarillo,CA,0,NULL
Starr King School for the Ministry,Oakland,CA,0,NULL
Marshall B Ketchum University,Fullerton,CA,0,NULL
Southern California Institute of Architecture,Los Angeles,CA,0,237
University of Southern California,Los Angeles,CA,0,19908
Southwestern Law School,Los Angeles,CA,0,NULL
Taft College,Taft,CA,0,5376
Claremont School of Theology,Claremont,CA,0,NULL
Thomas Aquinas College,Santa Paula,CA,0,439
Epic Bible College,Sacramento,CA,0,109
United Education Institute-Huntington Park Campus,Huntington Park,CA,0,921
Concorde Career College-San Bernardino,San Bernardino,CA,0,572
Concorde Career College-North Hollywood,North Hollywood,CA,0,601
Ventura College,Ventura,CA,0,11535
The Santa Barbara and Ventura Colleges of Law at Ventura,Ventura,CA,0,NULL
Victor Valley College,Victorville,CA,0,10269
Berkeley City College,Berkeley,CA,0,4770
Walden University,Minneapolis,MN,1,6948
Waynes College of Beauty,Salinas,CA,0,42
West Hills College-Coalinga,Coalinga,CA,0,2613
West Los Angeles College,Culver City,CA,0,11034
West Valley College,Saratoga,CA,0,6586
Carrington College-Sacramento,Sacramento,CA,0,3261
Westminster Theological Seminary in California,Escondido,CA,0,NULL
Westmont College,Santa Barbara,CA,0,1314
Whittier College,Whittier,CA,0,1770
Woodbury University,Burbank,CA,0,1108
The Wright Institute,Berkeley,CA,0,NULL
Thomas Jefferson School of Law,San Diego,CA,0,NULL
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Los Angeles,CA,0,138
Yuba College,Marysville,CA,0,4979
The Salon Professional Academy-Grand Junction,Grand Junction,CO,0,59
Adams State University,Alamosa,CO,0,1727
Aims Community College,Greeley,CO,0,3966
Arapahoe Community College,Littleton,CO,0,7051
Bel-Rea Institute of Animal Technology,Denver,CO,0,288
University of Colorado Denver/Anschutz Medical Campus,Denver,CO,0,11670
University of Colorado Colorado Springs,Colorado Springs,CO,0,10221
Spartan College of Aeronautics and Technology,Broomfield,CO,0,325
University of Colorado Boulder,Boulder,CO,0,30630
Colorado Christian University,Lakewood,CO,0,4671
Colorado College,Colorado Springs,CO,0,2089
Concorde Career College-Aurora,Aurora,CO,0,423
Colorado Mountain College,Glenwood Springs,CO,0,3135
Colorado Northwestern Community College,Rangely,CO,0,607
Colorado School of Mines,Golden,CO,0,5103
Colorado School of Trades,Lakewood,CO,0,149
Colorado State University-Fort Collins,Fort Collins,CO,0,24373
Colorado Technical University-Colorado Springs,Colorado Springs,CO,0,23197
Community College of Aurora,Aurora,CO,0,4615
CollegeAmerica-Denver,Denver,CO,0,72
Technical College of the Rockies,Delta,CO,0,117
Community College of Denver,Denver,CO,0,6295
Lincoln College of Technology-Denver,Denver,CO,0,1343
Denver Seminary,Littleton,CO,0,NULL
University of Denver,Denver,CO,0,5755
Emily Griffith Technical College,Denver,CO,0,5527
Fort Lewis College,Durango,CO,0,3080
Front Range Community College,Westminster,CO,0,13081
Iliff School of Theology,Denver,CO,0,NULL
International Salon and Spa Academy,Colorado Springs,CO,0,284
Lamar Community College,Lamar,CO,0,529
Colorado Mesa University,Grand Junction,CO,0,8260
Metropolitan State University of Denver,Denver,CO,0,18378
Morgan Community College,Fort  Morgan,CO,0,613
Naropa University,Boulder,CO,0,371
Nazarene Bible College,Colorado Springs,CO,0,428
Northeastern Junior College,Sterling,CO,0,1017
University of Northern Colorado,Greeley,CO,0,8448
Otero Junior College,La Junta,CO,0,797
Pikes Peak Community College,Colorado Springs,CO,0,10633
Pueblo Community College,Pueblo,CO,0,3839
Red Rocks Community College,Lakewood,CO,0,5480
Regis University,Denver,CO,0,3392
Rocky Mountain College of Art and Design,Lakewood,CO,0,1449
Montessori Education Center of the Rockies,Boulder,CO,0,21
Colorado State University Pueblo,Pueblo,CO,0,3447
Pickens Technical College,Aurora,CO,0,1049
Intellitec College-Colorado Springs,Colorado Springs,CO,0,518
Intellitec College-Grand Junction,Grand Junction,CO,0,776
Trinidad State Junior College,Trinidad,CO,0,1088
United States Air Force Academy,USAF Academy,CO,0,4304
Empire Beauty School-Thornton,Thornton,CO,0,114
Western Colorado University,Gunnison,CO,0,1815
Albertus Magnus College,New Haven,CT,0,1108
Asnuntuck Community College,Enfield,CT,0,1224
Bais Binyomin Academy,Monsey,NY,0,38
Branford Hall Career Institute-Branford Campus,Branford,CT,0,93
University of Bridgeport,Bridgeport,CT,0,3233
Central Connecticut State University,New Britain,CT,0,8817
Charter Oak State College,New Britain,CT,1,1474
Cortiva Institute-Cromwell,Cromwell,CT,0,124
Connecticut College,New London,CT,0,1820
Porter and Chester Institute of Hamden,Hamden,CT,0,342
University of Connecticut,Storrs,CT,0,18585
Goodwin University,East Hartford,CT,0,3027
Lincoln Technical Institute-East Windsor,East Windsor,CT,0,978
Eastern Connecticut State University,Willimantic,CT,0,4425
Fairfield University,Fairfield,CT,0,4250
Paul Mitchell the School-North Haven,North Haven,CT,0,218
Capital Community College,Hartford,CT,0,2791
Rensselaer at Hartford,Hartford,CT,0,NULL
American Institute-West Hartford,West Hartford,CT,0,357
Hartford Seminary,Hartford,CT,0,NULL
University of Hartford,West Hartford,CT,0,4553
Holy Apostles College and Seminary,Cromwell,CT,0,174
Housatonic Community College,Bridgeport,CT,0,4434
Manchester Community College,Manchester,CT,0,5033
Naugatuck Valley Community College,Waterbury,CT,0,5490
Middlesex Community College,Middletown,CT,0,2118
Mitchell College,New London,CT,0,597
Three Rivers Community College,Norwich,CT,0,2957
Lincoln Technical Institute-New Britain,New Britain,CT,0,542
New England Tractor Trailer Training School of Connecticut,Somers,CT,0,295
University of New Haven,West Haven,CT,0,4863
